date_vente,isbn,quantite,prix_unitaire_eur,email_client,canal
2025-07-13,9781449486792,1,12.4,nathan.david95@example.org,site
2025-07-17,9780241968154,1,12.74,camille.leroy26@example.org,Magasin
2026-04-28,9780765316974,2,4.73,louis.bertrand55@example.org,STORE
2025-10-19,9791000000829,2,8.12,jade.bernard46@example.org,STORE
2025-07-23,9780415478816,1,8.92,jade.bernard71@example.org,en ligne
2026-05-13,9791000000079,2,24.94,lea.martin85@example.org,web
2025-08-10,9780393925340,1,8.08,manon.lefebvre82@example.org,en ligne
2025-12-29,9780061652264,1,29.34,lea.roux82@example.org,boutique
2025-11-03,9781434462770,1,14.06,hugo.david42@example.org,magasin
2025-07-17,9780224617253,1,13.98,chloe.roux92@example.org,STORE
2026-03-13,9789020632729,2,27.26,emma.laurent18@example.org,boutique
2026-04-02,9780345458889,2,19.67,jade.simon29@example.org,web
2025-08-16,9783257208634,1,8.38,louis.morel88@example.org,Magasin
2026-01-14,9781466864580,1,21.07,manon.leroy2@example.org,magasin
2026-04-01,9782221129289,1,27.19,nathan.laurent56@example.org,web
2025-11-12,9791000000979,1,10.82,nathan.fournier81@example.org,STORE
2026-03-17,9781594488849,1,17.74,louis.leroy68@example.org,site
2026-03-08,9780878210329,1,17.35,theo.moreau8@example.org,boutique
2025-08-10,9780385094436,2,33.39,emma.dubois85@example.org,online
2025-09-23,9780062225719,1,25.97,chloe.leroy97@example.org,place de marché
2025-12-07,9788445007037,0,27.51,zoe.leroy58@example.org,site
2025-08-02,9783423262644,1,24.11,hugo.martin10@example.org,magasin
2025-07-17,9780373300693,1,22.7,manon.david63@example.org,boutique
2026-04-19,9780007299805,1,32.28,gabriel.moreau13@example.org,magasin
2025-12-29,9780256234787,1,35.08,jules.david84@example.org,site
2025-12-21,9780140256352,2,13.3,chloe.leroy58@example.org,boutique
2025-11-20,9788408282952,1,37.18,zoe.morel71@example.org,magasin
2026-04-03,9780007163243,1,7.8,hugo.dubois53@example.org,Magasin
2026-01-22,9791000000269,1,17.92,jade.laurent59@example.org,STORE
2026-04-11,9781593157135,2,9.98,theo.moreau8@example.org,magasin
2025-07-30,9781735056692,1,22.3,louis.martin66@example.org,site
2025-08-05,9781841593326,1,35.01,jade.bernard73@example.org,web
2025-07-21,9785553671754,1,27.77,ines.laurent27@example.org,STORE
2026-01-19,9780606404518,1,15.12,ines.morel10@example.org,magasin
2026-04-15,9780804168441,1,12.05,manon.dubois45@example.org,magasin
2026-01-06,9788804507727,1,34.01,theo.roux84@example.org,site
2026-04-10,9781491543382,3,8.17,emma.laurent15@example.org,site
2025-09-18,9780872205925,1,11.96,ines.moreau88@example.org,en ligne
2025-11-06,9791000000299,3,6.3,gabriel.fournier36@example.org,magasin
2025-09-05,9781491514931,3,10.22,zoe.leroy91@example.org,Magasin
2025-08-27,9781408999011,3,28.96,emma.leroy5@example.org,STORE
2025-09-14,9780823420278,1,15.41,jules.simon27@example.org,boutique
2025-12-29,9781653656752,1,35.46,emma.moreau21@example.org,web
2025-07-13,9782226018052,2,16.26,gabriel.morel86@example.org,web
2026-06-25,9780547524009,1,5.87,arthur.moreau26@example.org,Magasin
2025-10-25,9781844135844,1,11.34,ines.laurent9@example.org,STORE
2026-03-18,9788420683324,1,34.37,ines.martin15@example.org,STORE
2025-11-13,9780563524922,1,19.88,ines.michel78@example.org,magasin
2026-04-22,9788448034580,1,29.59,camille.leroy69@example.org,boutique
2025-08-05,9791000000739,1,16.19,ines.david16@example.org,STORE
2026-06-07,9780373511648,1,29.18,emma.moreau54@example.org,Magasin
2025-09-28,9780394299877,1,18.88,camille.laurent37@example.org,web
2026-04-23,9780007527564,1,20.96,zoe.david28@example.org,Magasin
