Date;ISBN13;Qte;PU;Email;Canal
18/01/2026;9788374801171;1;37.49;gabriel.dubois82@example.org;online
27/09/2025;9781713532125;3;22.81;gabriel.moreau13@example.org;place de marché
16/03/2026;9780263119763;1;32.26;manon.fournier71@example.org;web
13/10/2025;9780263108262;1;19.98;emma.martin80@example.org;place de marché
10/08/2025;9781976087097;1;30.78;emma.lefebvre82@example.org;STORE
31/05/2026;9791000000209;1;11.36;hugo.bertrand49@example.org;STORE
18/11/2025;9782021011968;3;26.71;nathan.bernard59@example.org;site
22/11/2025;9780060826086;2;7.78;arthur.fournier47@example.org;boutique
09/03/2026;9788804686521;1;7.1;lea.moreau88@example.org;Magasin
08/12/2025;9782843623103;3;33.12;louis.laurent2@example.org;boutique
20/05/2026;9780007527564;2;8.65;ines.simon62@example.org;site
08/11/2025;9791000000509;1;25.96;camille.leroy66@example.org;boutique
03/01/2026;9780575073241;2;5.54;emma.moreau11@example.org;boutique
04/03/2026;9798618236188;3;16.84;theo.lefebvre96@example.org;Magasin
21/01/2026;9791000000469;1;10.62;manon.michel14@example.org;STORE
14/10/2025;9791000000789;2;19.84;zoe.michel77@example.org;STORE
15/05/2026;9780547524009;1;19.7;lucas.simon81@example.org;site
18/07/2025;9791000000839;1;25.28;theo.roux83@example.org;STORE
28/08/2025;9780134101477;2;19.7;louis.simon32@example.org;magasin
07/01/2026;9780671746520;1;15.63;camille.simon89@example.org;magasin
18/10/2025;9780963270702;1;15.88;hugo.leroy9@example.org;online
17/10/2025;9786155514142;1;24.36;lea.roux83@example.org;Magasin
08/02/2026;9780525537113;2;11.51;jules.morel64@example.org;online
18/11/2025;9780140139198;1;20.53;ines.roux50@example.org;boutique
23/11/2025;9780061492570;1;34.81;camille.lefebvre37@example.org;boutique
23/01/2026;9780806246178;2;37.0;jules.simon83@example.org;site
18/08/2025;9780825616518;2;30.1;manon.simon97@example.org;STORE
11/04/2026;9786070793677;1;26.18;jade.laurent90@example.org;Magasin
25/05/2026;9791000000929;3;34.34;nathan.martin29@example.org;magasin
10/09/2025;9786525917313;0;34.99;gabriel.moreau22@example.org;site
05/01/2026;9781984801494;3;39.53;jules.laurent6@example.org;magasin
03/12/2025;9788476603819;1;28.85;jade.laurent90@example.org;boutique
25/04/2026;9781521093443;1;15.8;emma.morel75@example.org;MP
08/06/2026;9780792483809;1;13.01;arthur.david63@example.org;en ligne
