sale_date,isbn,qty,unit_price,customer_email,channel
08/08/2025,9791000000789,1,32.92,theo.bernard53@example.org,Magasin
02/20/2026,9780373020751,3,16.66,jade.bertrand75@example.org,magasin
11/27/2025,9781613822494,1,5.49,theo.simon2@example.org,place de marché
05/24/2026,9780736614818,2,35.5,ines.dubois16@example.org,magasin
09/10/2025,9791000000869,1,18.54,theo.leroy78@example.org,magasin
04/05/2026,9782226018052,1,34.01,lucas.leroy14@example.org,boutique
04/03/2026,9781559348263,1,35.47,jules.simon62@example.org,STORE
04/03/2026,9780439982566,1,25.56,arthur.laurent96@example.org,site
01/29/2026,9781089496199,1,9.79,zoe.morel48@example.org,magasin
10/17/2025,9781476878584,1,30.0,jade.bernard76@example.org,STORE
07/09/2025,9791000000359,3,17.15,theo.bernard72@example.org,en ligne
10/07/2025,9782075094450,1,23.66,theo.michel58@example.org,site
03/03/2026,9791000000379,2,5.19,nathan.leroy61@example.org,boutique
05/26/2026,9780008305703,1,8.5,chloe.michel48@example.org,magasin
11/16/2025,9791000000429,1,38.12,manon.dubois77@example.org,magasin
11/18/2025,9783453089228,1,19.44,jade.fournier48@example.org,boutique
07/20/2025,9781481428149,1,32.05,nathan.simon45@example.org,Magasin
09/09/2025,9780786215133,3,31.69,louis.fournier24@example.org,site
12/17/2025,9780307394392,1,26.99,theo.lefebvre4@example.org,en ligne
03/03/2026,9791000000249,1,23.66,ines.simon77@example.org,boutique
12/15/2025,9780263120974,1,33.67,hugo.leroy29@example.org,en ligne
08/11/2025,9791000000949,1,16.29,lucas.moreau14@example.org,boutique
05/02/2026,9780373110926,1,13.32,emma.david24@example.org,site
08/04/2025,9791000000539,2,21.22,emma.david60@example.org,MP
11/16/2025,9780671868376,1,30.4,lucas.leroy42@example.org,STORE
09/26/2025,9780679432531,1,15.31,lucas.dubois92@example.org,STORE
08/29/2025,9788422686569,1,17.54,lea.lefebvre9@example.org,magasin
07/27/2025,9789715502016,2,6.17,theo.roux12@example.org,STORE
12/05/2025,9780091203207,1,31.57,chloe.simon99@example.org,boutique
03/28/2026,9780470104248,2,30.42,nathan.fournier60@example.org,magasin
12/01/2025,9781536457674,2,24.72,chloe.laurent38@example.org,boutique
10/27/2025,9788466642613,1,5.57,chloe.bernard68@example.org,boutique
08/05/2025,9781958943366,1,33.72,louis.michel5@example.org,Magasin
09/28/2025,9781595583260,3,6.92,louis.lefebvre70@example.org,Magasin
11/24/2025,9780606011938,1,11.01,lea.simon24@example.org,magasin
12/04/2025,9780373511648,1,27.9,ines.bertrand29@example.org,Magasin
03/20/2026,9781735056692,1,24.48,nathan.simon55@example.org,online
11/20/2025,9780062839701,1,7.6,arthur.lefebvre96@example.org,Magasin
04/30/2026,9780061002823,1,37.5,theo.moreau27@example.org,MP
05/06/2026,9780297859390,1,17.81,gabriel.laurent44@example.org,magasin
04/21/2026,9782221125779,2,28.91,nathan.martin69@example.org,en ligne
04/22/2026,9780898796827,1,12.78,ines.dubois13@example.org,magasin
01/26/2026,9780198118244,1,36.52,louis.david38@example.org,Magasin
03/21/2026,9781613822494,1,26.42,zoe.roux48@example.org,Magasin
01/06/2026,9780263753820,2,21.86,lucas.morel67@example.org,boutique
08/26/2025,9780373024209,1,10.84,lea.lefebvre96@example.org,place de marché
04/02/2026,9781594488849,1,27.96,lea.fournier18@example.org,STORE
10/05/2025,9780553418286,1,34.94,lea.lefebvre2@example.org,STORE
03/28/2026,9781491543382,3,13.8,ines.morel13@example.org,en ligne
10/14/2025,9780999174067,1,35.43,jade.leroy14@example.org,site
10/20/2025,9798417265099,1,23.2,ines.morel56@example.org,magasin
04/22/2026,9789507511288,1,39.4,lea.laurent44@example.org,site
07/12/2025,9798669140557,2,27.75,louis.fournier14@example.org,online
07/25/2025,9781685450984,1,24.33,gabriel.michel75@example.org,boutique
01/08/2026,9780263130249,1,27.76,camille.morel93@example.org,Magasin
07/07/2025,9781419772955,2,15.77,emma.david51@example.org,marketplace
09/01/2025,9783849536206,1,32.37,lea.martin32@example.org,web
02/28/2026,9781597223072,1,35.16,lucas.bernard32@example.org,online
07/31/2025,9780860099697,1,33.75,nathan.fournier65@example.org,magasin
12/15/2025,9780446511070,2,15.1,zoe.moreau52@example.org,magasin
06/22/2026,9788804686521,2,22.07,jade.morel52@example.org,marketplace
08/10/2025,9781478312932,1,22.54,jade.roux32@example.org,marketplace
05/13/2026,9780061550676,2,26.68,ines.fournier97@example.org,Magasin
05/21/2026,9791000000809,1,28.06,lea.david43@example.org,Magasin
10/31/2025,9780575105843,1,11.08,lucas.morel15@example.org,site
