date;code_isbn;nb;prix;mail;canal;commentaire
21-10-2025;9781690319849;3;16,13;theo.david94@example.org;en ligne;
01-10-2025;9780198118756;1;32,59;gabriel.lefebvre42@example.org;Magasin;commande spéciale
07-05-2026;9780881035254;1;28,59;zoe.roux71@example.org;boutique;commande spéciale
04-12-2025;9782226479822;1;19,07;emma.lefebvre33@example.org;STORE;commande spéciale
15-06-2026;9798454025748;1;18,27;lucas.leroy74@example.org;online;
20-07-2025;9781568497037;2;35,59;louis.dubois15@example.org;marketplace;client fidèle
29-06-2026;9780060934514;1;17,81;camille.leroy26@example.org;STORE;commande spéciale
14-06-2026;9780061895968;1;28,28;hugo.martin88@example.org;Magasin;
24-08-2025;9789189298323;1;13,22;arthur.roux77@example.org;boutique;commande spéciale
21-05-2026;9791000000309;3;29,14;jules.morel29@example.org;boutique;client fidèle
06-03-2026;9780061895968;1;22,87;lucas.fournier19@example.org;STORE;client fidèle
14-04-2026;9783442245666;1;18,54;nathan.leroy99@example.org;en ligne;
21-04-2026;9781512486162;1;13,09;camille.david1@example.org;online;commande spéciale
27-04-2026;9788804507727;1;39,2;theo.morel36@example.org;STORE;RAS
25-05-2026;9788432217456;1;32,82;manon.bernard6@example.org;Magasin;client fidèle
26-09-2025;9780001711129;1;18,15;ines.laurent84@example.org;boutique;client fidèle
17-02-2026;9781760892531;1;24,61;jade.martin94@example.org;STORE;RAS
23-04-2026;9780141038148;3;11,91;ines.david82@example.org;magasin;client fidèle
07-05-2026;9798791612762;2;38,7;lucas.leroy41@example.org;Magasin;
23-10-2025;9791000000469;1;16,18;lea.michel62@example.org;STORE;
20-10-2025;9788477111252;1;21,8;chloe.martin57@example.org;place de marché;RAS
17-06-2026;9780749459116;1;38,39;nathan.david82@example.org;web;RAS
14-07-2025;9781616960926;1;21,91;chloe.michel75@example.org;boutique;
10-10-2025;9788440666826;2;15,88;camille.moreau25@example.org;Magasin;
06-05-2026;9798475273906;1;24,12;jules.bertrand24@example.org;boutique;client fidèle
09-09-2025;9791000000549;2;32,86;ines.moreau21@example.org;Magasin;commande spéciale
21-06-2026;9780606283892;2;33,13;theo.roux58@example.org;boutique;
19-06-2026;9781451686296;1;38,79;hugo.laurent62@example.org;Magasin;commande spéciale
03-02-2026;9788074770814;1;35,87;hugo.bertrand46@example.org;STORE;client fidèle
21-06-2026;9780263853087;0;5,98;emma.martin6@example.org;Magasin;client fidèle
06-11-2025;9789388144346;1;38,99;manon.morel47@example.org;STORE;RAS
17-01-2026;9780062273208;2;8,32;hugo.david77@example.org;site;
14-09-2025;9782376862185;1;31,26;camille.fournier54@example.org;MP;RAS
24-01-2026;9781101192740;3;10,48;emma.leroy84@example.org;boutique;client fidèle
20-05-2026;9780471119463;1;14,98;gabriel.leroy89@example.org;en ligne;RAS
03-07-2025;9791000000619;1;17,59;ines.roux43@example.org;magasin;
25-01-2026;9780879015497;2;19,68;arthur.lefebvre63@example.org;STORE;client fidèle
19-10-2025;9787555027706;1;21,78;chloe.roux93@example.org;place de marché;client fidèle
13-06-2026;9780263753820;1;5,53;louis.bertrand95@example.org;boutique;commande spéciale
10-01-2026;9781405224031;1;33,51;emma.michel73@example.org;magasin;RAS
17-06-2026;9780671491758;1;24,47;lucas.simon87@example.org;magasin;client fidèle
20-02-2026;9781547277322;1;19,78;zoe.martin93@example.org;magasin;commande spéciale
13-06-2026;9780547524009;1;6,48;chloe.laurent40@example.org;place de marché;
09-02-2026;9788417454432;1;10,29;nathan.michel24@example.org;magasin;client fidèle
08-10-2025;9780545926751;1;28,79;hugo.roux95@example.org;magasin;
19-09-2025;9781536435078;3;32,23;emma.bernard1@example.org;en ligne;commande spéciale
03-03-2026;9780385094436;1;37,06;jules.fournier8@example.org;boutique;
19-03-2026;9780061451652;1;20,23;manon.dubois59@example.org;site;commande spéciale
14-05-2026;9798897248889;1;30,53;zoe.morel22@example.org;boutique;client fidèle
08-10-2025;9785882156922;1;27,87;camille.bernard22@example.org;Magasin;RAS
10-04-2026;9781451686296;3;13,66;gabriel.simon65@example.org;place de marché;
16-11-2025;9780143566526;1;34,4;gabriel.fournier89@example.org;magasin;RAS
13-11-2025;9781306337564;1;26,72;ines.dubois47@example.org;online;client fidèle
08-04-2026;9780963270702;1;21,11;manon.martin57@example.org;magasin;RAS
23-06-2026;978957467950X;1;15,76;zoe.lefebvre7@example.org;online;commande spéciale
11-05-2026;9788170554240;1;20,56;emma.leroy40@example.org;boutique;RAS
01-08-2025;9788804686521;1;22,65;emma.michel88@example.org;magasin;
10-01-2026;9780307491572;1;5,45;ines.moreau64@example.org;site;
03-02-2026;9798212378338;1;30,29;jade.leroy66@example.org;site;
08-08-2025;9780860099697;2;27,2;jade.laurent61@example.org;en ligne;commande spéciale
12-09-2025;9780805243550;1;11,26;nathan.dubois98@example.org;en ligne;RAS
16-06-2026;9783453186880;1;17,71;manon.bernard52@example.org;magasin;commande spéciale
06-05-2026;9780385094436;3;24,2;manon.leroy3@example.org;Magasin;RAS
25-06-2026;9780263119763;1;29,0;jade.lefebvre14@example.org;STORE;client fidèle
03-03-2026;9781512486162;1;30,15;jules.lefebvre37@example.org;magasin;
24-10-2025;9780061744303;3;25,0;zoe.roux49@example.org;Magasin;commande spéciale
28-05-2026;9791000000359;1;7,45;jules.simon9@example.org;site;
19-04-2026;9791000000499;1;28,44;jules.fournier14@example.org;Magasin;RAS
02-01-2026;9780785748663;2;4,92;jules.dubois45@example.org;STORE;commande spéciale
