date_vente,isbn,quantite,prix_unitaire,email_client,canal
8 mars 2026,9781591847816,2,34.27,manon.david8@example.org,boutique
15 mai 2026,9781508217022,3,4.8,chloe.lefebvre74@example.org,boutique
19 août 2025,9798986868035,1,9.35,jules.martin37@example.org,STORE
24 juillet 2025,9780763603519,1,7.92,louis.fournier35@example.org,Magasin
30 novembre 2025,9791020924636,1,24.28,arthur.moreau19@example.org,MP
12 décembre 2025,9780446511070,2,37.95,emma.roux85@example.org,site
21 octobre 2025,9781732172234,2,37.78,nathan.dubois4@example.org,Magasin
18 juillet 2025,9780061097317,1,23.93,camille.fournier30@example.org,MP
25 juin 2026,9789794130834,1,39.14,nathan.roux78@example.org,online
12 novembre 2025,9780765316974,1,16.06,zoe.bertrand90@example.org,magasin
14 février 2026,9780345458889,1,11.06,ines.laurent8@example.org,en ligne
6 janvier 2026,9791000000479,1,16.03,arthur.morel36@example.org,marketplace
28 septembre 2025,9780007493579,1,18.43,arthur.morel41@example.org,boutique
13 juillet 2025,9780064601375,1,13.62,lea.laurent5@example.org,STORE
2 avril 2026,9780843940008,1,21.45,lea.fournier33@example.org,en ligne
31 décembre 2025,9789500417563,1,4.7,jules.martin6@example.org,MP
27 novembre 2025,9781483928197,1,34.56,manon.roux60@example.org,Magasin
17 octobre 2025,9798688109153,2,23.46,zoe.simon22@example.org,STORE
22 novembre 2025,9791000000179,1,25.92,theo.michel55@example.org,boutique
2 février 2026,9780061550676,1,11.31,jules.bertrand61@example.org,STORE
15 août 2025,9780786189694,1,28.13,nathan.morel50@example.org,en ligne
2 juin 2026,9780062073747,1,28.4,lucas.roux43@example.org,magasin
25 août 2025,9783423262644,3,20.05,lea.morel64@example.org,STORE
7 février 2026,9780688184742,1,38.11,arthur.fournier99@example.org,Magasin
21 août 2025,9780007815586,1,38.57,hugo.morel21@example.org,web
20 février 2026,9781108057875,1,10.24,theo.michel13@example.org,Magasin
27 novembre 2025,9780765316974,1,19.35,lucas.morel83@example.org,boutique
5 décembre 2025,9781574535587,3,23.7,louis.leroy99@example.org,magasin
1 novembre 2025,9780750503075,1,9.0,manon.morel64@example.org,web
20 février 2026,9780061895968,2,39.16,lea.bertrand35@example.org,en ligne
21 avril 2026,9788477111252,1,4.68,theo.michel44@example.org,place de marché
24 janvier 2026,9783898535526,2,32.66,emma.david96@example.org,STORE
15 mars 2026,9788447369225,1,27.3,arthur.morel32@example.org,Magasin
23 mai 2026,9780590113076,2,19.3,manon.fournier74@example.org,Magasin
17 février 2026,9788447333165,1,13.29,emma.simon15@example.org,place de marché
2 avril 2026,9781963349023,1,8.99,zoe.laurent57@example.org,Magasin
7 février 2026,9780999174067,1,18.67,jules.bertrand79@example.org,site
4 mai 2026,9788448034580,2,10.29,manon.dubois44@example.org,boutique
8 février 2026,9788501117687,1,34.43,camille.leroy46@example.org,Magasin
15 février 2026,9798352831533,1,5.43,lucas.fournier84@example.org,online
17 octobre 2025,9780679729525,2,25.43,gabriel.lefebvre6@example.org,en ligne
14 février 2026,9780763603519,3,36.95,nathan.laurent5@example.org,en ligne
25 février 2026,9791000000699,3,9.27,lucas.bertrand3@example.org,site
22 novembre 2025,9785170912360,1,5.77,ines.lefebvre42@example.org,boutique
19 mai 2026,9780416027020,1,38.12,manon.bertrand71@example.org,STORE
20 décembre 2025,9780224018616,1,21.26,gabriel.moreau31@example.org,STORE
3 octobre 2025,9780756956691,2,39.29,camille.roux44@example.org,web
17 juin 2026,9780060513061,1,37.37,arthur.dubois68@example.org,web
19 avril 2026,9780816150694,1,35.68,arthur.martin92@example.org,STORE
19 septembre 2025,9781119675655,2,39.28,jade.martin31@example.org,online
9 mai 2026,9780345913722,1,27.02,zoe.michel88@example.org,MP
27 septembre 2025,9781974343539,3,25.74,theo.moreau89@example.org,STORE
4 mars 2026,9788423991235,2,32.89,gabriel.simon29@example.org,Magasin
25 février 2026,9780061351426,1,9.44,arthur.bernard54@example.org,STORE
3 août 2025,9780307291813,1,11.33,gabriel.roux43@example.org,magasin
17 juin 2026,9780156724005,2,16.65,louis.simon5@example.org,site
7 août 2025,9780263782011,1,21.37,jules.lefebvre80@example.org,boutique
2 mars 2026,9782018055524,1,23.05,chloe.moreau97@example.org,STORE
23 avril 2026,9780061492570,1,38.02,arthur.laurent30@example.org,web
7 février 2026,9780142413401,2,10.72,manon.roux37@example.org,site
16 août 2025,9780224618144,1,24.93,lucas.roux79@example.org,magasin
21 juin 2026,9780658006340,1,15.14,manon.martin32@example.org,magasin
4 avril 2026,9781338611991,1,39.67,nathan.laurent56@example.org,MP
19 août 2025,9782021011968,1,5.47,chloe.fournier30@example.org,magasin
5 mai 2026,9791000000769,1,19.8,gabriel.david75@example.org,MP
20 avril 2026,9791000000729,3,33.78,chloe.bertrand62@example.org,STORE
12 juin 2026,9780769206684,2,14.66,louis.leroy65@example.org,en ligne
28 février 2026,9780670058167,1,15.35,ines.martin95@example.org,boutique
30 septembre 2025,9789953432540,1,32.48,lea.lefebvre74@example.org,boutique
22 janvier 2026,9780263762495,1,38.09,ines.simon26@example.org,web
13 mai 2026,978957467950X,1,35.01,theo.david90@example.org,boutique
12 septembre 2025,9780396080176,3,29.94,arthur.roux31@example.org,en ligne
10 août 2025,9780810918849,1,23.14,gabriel.lefebvre22@example.org,online
