date_vente,isbn,quantite,prix_unitaire_eur,email_client,canal,id_caisse,version_export
2025-12-18,9780449024959,2,20.9,jade.michel8@example.org,Magasin,1400,v2.3
2025-10-04,9780606011938,3,16.41,zoe.bertrand49@example.org,MP,8852,v2.3
2026-01-14,9780297859390,1,17.14,lucas.bertrand19@example.org,Magasin,6573,v2.3
2025-07-25,9780155826083,1,19.01,lucas.fournier95@example.org,boutique,4338,v2.3
2025-11-08,9781976446184,1,8.3,manon.bernard24@example.org,STORE,5476,v2.3
2025-11-11,9780049140172,1,22.92,chloe.simon75@example.org,Magasin,6397,v2.3
2025-07-03,9791000000049,1,27.87,emma.martin66@example.org,Magasin,6919,v2.3
2026-05-20,9780416027020,1,24.02,chloe.bertrand87@example.org,boutique,2858,v2.3
2026-04-16,9798739934543,1,24.88,hugo.leroy14@example.org,Magasin,4709,v2.3
2025-09-04,9780071772204,1,4.6,,en ligne,7692,v2.3
2025-07-05,9781101192740,1,38.67,gabriel.bertrand57@example.org,STORE,7106,v2.3
2025-09-03,9789812340931,1,25.64,lea.simon17@example.org,web,4217,v2.3
2025-08-24,9791000000309,2,34.02,,magasin,4004,v2.3
2026-03-08,9780061762604,1,7.45,zoe.laurent73@example.org,boutique,4594,v2.3
2025-12-14,9780449908587,2,32.58,arthur.david55@example.org,boutique,3020,v2.3
2025-12-24,9781283677127,1,38.22,gabriel.david48@example.org,site,9131,v2.3
2026-03-23,9780267171989,1,19.98,gabriel.david44@example.org,magasin,4197,v2.3
2026-05-02,9781500420536,1,21.1,ines.laurent69@example.org,boutique,9139,v2.3
2026-03-31,9780263108262,2,39.44,chloe.laurent16@example.org,boutique,8758,v2.3
2025-07-13,9780263757538,1,18.74,arthur.laurent76@example.org,online,3586,v2.3
2026-03-16,9780425029459,1,15.17,theo.michel90@example.org,en ligne,6046,v2.3
2025-11-07,9780307284174,1,22.74,arthur.moreau79@example.org,boutique,9154,v2.3
2025-09-04,9791000000169,1,16.04,arthur.lefebvre36@example.org,magasin,9225,v2.3
2025-12-27,9788475842318,1,6.81,lea.moreau40@example.org,online,5472,v2.3
2026-04-06,9780843934632,1,15.94,,Magasin,2820,v2.3
2025-10-21,9781417701155,1,13.93,arthur.lefebvre11@example.org,web,7970,v2.3
2025-09-23,9788324592265,2,27.2,hugo.laurent12@example.org,magasin,5617,v2.3
2026-02-20,9780071408691,2,26.13,zoe.michel49@example.org,STORE,6888,v2.3
