DATE_VENTE,ISBN,QUANTITE,PRIX_UNITAIRE,EMAIL_CLIENT,CANAL
2025-09-25,9788191032406,1,13.07,lea.lefebvre38@example.org,site
2026-05-22,9780785740568,1,25.58,ines.david62@example.org,site
2026-04-03,9781935682028,1,19.61,louis.michel9@example.org,en ligne
2026-03-22,9780671255961,1,32.77,gabriel.lefebvre42@example.org,Magasin
2026-05-19,9780008305703,1,39.84,arthur.bernard98@example.org,magasin
2026-03-05,9788418052637,1,18.77,theo.dubois15@example.org,online
2025-12-28,9798791612762,1,37.75,hugo.bernard91@example.org,Magasin
2026-06-20,9786070793677,1,16.4,emma.dubois10@example.org,Magasin
2025-07-17,9780134101477,3,16.54,arthur.leroy95@example.org,Magasin
2025-09-04,9780655672241,1,11.8,hugo.bernard52@example.org,Magasin
2026-04-22,9780062073747,1,5.4,hugo.dubois25@example.org,web
2026-01-07,9788445073834,2,23.33,jade.david69@example.org,boutique
2026-06-12,9788427911758,1,4.76,ines.leroy85@example.org,place de marché
2026-02-27,9781544739366,1,11.17,jules.bernard54@example.org,STORE
2025-11-21,9780575042681,3,17.08,camille.lefebvre56@example.org,en ligne
2025-10-01,9791000000099,2,27.88,jade.bernard7@example.org,magasin
2025-12-06,9791000000539,1,14.82,hugo.roux2@example.org,magasin
2025-10-28,9786073814423,2,12.31,lucas.roux90@example.org,marketplace
2025-09-28,9780594091400,2,11.32,jules.morel16@example.org,marketplace
2026-01-27,9781428640382,1,37.22,emma.martin15@example.org,STORE
2026-06-21,9789794130834,1,5.48,nathan.bertrand95@example.org,place de marché
2025-08-28,9780441363957,1,35.47,chloe.david52@example.org,boutique
2025-07-26,9788423991235,3,16.33,lea.roux94@example.org,place de marché
2026-04-25,9781957568225,1,37.33,zoe.dubois35@example.org,en ligne
2025-08-01,9780804168441,1,19.79,emma.dubois44@example.org,STORE
2025-12-14,9791000000249,1,25.53,hugo.roux63@example.org,en ligne
2025-11-22,9780894108815,1,5.63,theo.dubois3@example.org,site
2026-05-26,9780521205542,1,25.37,emma.fournier85@example.org,web
2026-01-21,9781723208614,1,39.75,ines.fournier33@example.org,Magasin
2025-07-15,9780984358137,1,11.54,camille.roux44@example.org,Magasin
2026-04-23,9781441739001,1,7.67,hugo.martin94@example.org,boutique
2026-03-23,9780062273208,1,6.7,emma.bernard22@example.org,STORE
2026-06-08,9781250095275,0,39.1,nathan.dubois45@example.org,Magasin
2026-04-17,9791000000909,1,27.9,jules.simon26@example.org,en ligne
2026-03-06,9780198118312,1,13.98,theo.martin59@example.org,site
2025-12-13,9780393966435,1,24.07,camille.bertrand69@example.org,boutique
2026-03-13,9781591846918,1,27.93,zoe.morel40@example.org,magasin
2025-10-23,9780593642009,1,34.16,louis.michel59@example.org,STORE
2025-12-10,9783442353927,1,35.64,chloe.simon80@example.org,boutique
2026-01-07,9781177541923,1,38.9,lea.fournier42@example.org,magasin
2026-06-12,9780205176076,1,17.4,zoe.simon57@example.org,Magasin
2025-09-25,9781561037629,1,34.23,emma.laurent4@example.org,boutique
2026-01-06,9788440672599,2,4.8,zoe.lefebvre85@example.org,online
2025-07-29,9781071068403,1,24.63,arthur.lefebvre46@example.org,boutique
2025-12-01,9780805243550,1,5.62,jade.dubois18@example.org,en ligne
2025-12-01,9781850890362,2,29.04,zoe.fournier57@example.org,online
2026-04-05,9783442457472,1,38.42,jules.michel52@example.org,site
2025-12-28,9781976016301,1,37.22,manon.michel13@example.org,Magasin
2026-06-14,9780062111234,3,38.79,manon.lefebvre15@example.org,boutique
2026-05-20,9781119251736,3,8.31,arthur.bertrand8@example.org,Magasin
2026-05-05,9781559348263,2,22.56,manon.morel58@example.org,magasin
2025-09-09,9780999174067,1,6.92,lea.leroy82@example.org,site
2026-06-03,9780547524009,2,35.24,zoe.fournier8@example.org,magasin
2026-05-10,9781547277322,2,26.0,camille.martin54@example.org,magasin
2026-02-15,9780385142519,1,20.4,jade.michel93@example.org,web
2026-05-13,9780333675182,1,24.3,emma.michel84@example.org,boutique
2026-01-24,9781250790514,1,21.39,jules.moreau18@example.org,magasin
2026-01-08,9788074770814,2,26.16,manon.morel87@example.org,web
2025-11-10,9791000000829,2,20.58,camille.fournier73@example.org,Magasin
2025-07-26,9781568655611,1,38.59,arthur.martin26@example.org,web
2025-11-29,9780263102734,0,6.22,lea.moreau52@example.org,Magasin
2025-07-05,9780307491572,2,30.42,hugo.bernard91@example.org,boutique
2025-09-07,9780060826086,1,20.26,lea.roux87@example.org,web
2026-05-25,9780142423295,1,35.85,zoe.fournier2@example.org,en ligne
2026-02-10,9781476873626,2,32.53,zoe.david83@example.org,web
2025-08-27,9791000000309,1,17.62,theo.simon84@example.org,Magasin
2026-01-31,9781491514931,2,30.9,chloe.dubois97@example.org,boutique
2026-02-20,978281120345X,1,24.64,louis.laurent37@example.org,Magasin
2026-01-17,9780141309750,0,25.3,lea.bertrand18@example.org,web
2026-04-29,9780671827038,1,35.55,gabriel.fournier7@example.org,site
2025-07-09,9788427298293,1,14.82,jade.dubois10@example.org,en ligne
2025-07-15,9780757910869,1,9.98,jade.bernard43@example.org,en ligne
2025-11-03,9780373024209,1,5.63,arthur.lefebvre53@example.org,MP
2026-02-10,9780356521640,1,16.78,arthur.fournier71@example.org,Magasin
2026-05-28,9788491052371,1,23.36,ines.bernard77@example.org,web
2025-11-14,9791000000239,2,16.43,lucas.laurent21@example.org,boutique
2026-05-17,9781101192740,1,35.77,gabriel.bernard19@example.org,STORE
2026-03-20,9788835161189,3,26.76,louis.bernard7@example.org,STORE
2025-07-30,9780708883587,1,6.13,nathan.bernard36@example.org,web
2025-09-27,9780141038148,2,22.45,louis.roux31@example.org,site
2025-11-03,9780545541251,1,31.44,arthur.martin29@example.org,place de marché
2026-01-12,9788418052637,1,18.93,theo.laurent29@example.org,magasin
2026-01-09,9791000000249,1,11.74,zoe.fournier43@example.org,en ligne
