ts_vente,isbn,quantite,prix_unitaire,email_client,canal
1763117820,9780739371077,1,16.11,jules.lefebvre40@example.org,place de marché
1778688300,9780465067091,1,35.36,camille.moreau92@example.org,online
1781593020,9780793546534,1,39.6,camille.bernard1@example.org,MP
1776879600,9791000000569,1,25.64,hugo.bertrand56@example.org,STORE
1778228100,9780812992182,1,9.26,emma.fournier15@example.org,MP
1781522820,9781442486126,1,10.51,gabriel.roux63@example.org,Magasin
1777049700,9780373833740,2,22.2,ines.roux56@example.org,marketplace
1772288340,9781250883520,1,36.04,chloe.bertrand11@example.org,en ligne
1781071740,9781713532125,1,28.86,zoe.roux37@example.org,magasin
1765439580,9789795533412,1,5.34,lea.bertrand48@example.org,STORE
1767292020,9781448105618,1,39.37,arthur.moreau62@example.org,STORE
1753011180,9798791612762,1,32.91,hugo.dubois67@example.org,Magasin
1753605180,9780812540116,3,31.91,jade.bertrand9@example.org,online
1761743820,9788439707929,1,35.77,emma.simon86@example.org,magasin
1755939660,9788418483448,1,33.61,zoe.moreau21@example.org,boutique
1759508040,9780263771213,2,18.72,jules.bernard59@example.org,MP
1768748940,9781847941480,3,29.61,chloe.dubois8@example.org,magasin
1757943060,9780061857171,1,11.17,jules.bertrand54@example.org,magasin
1763293680,9781101216347,1,29.12,arthur.dubois57@example.org,en ligne
1752311580,9781955876162,2,29.84,theo.leroy38@example.org,Magasin
1754829300,9780091203207,1,12.77,jules.roux20@example.org,site
1770900720,9781512157055,1,12.02,louis.lefebvre34@example.org,magasin
1759936800,979100000100X,1,25.4,arthur.morel35@example.org,marketplace
1775111040,9788447333165,1,31.45,lucas.fournier81@example.org,Magasin
1781182080,9780898451429,2,34.53,lea.simon8@example.org,web
1769103300,9791000000709,1,16.56,emma.bernard74@example.org,STORE
1755066600,9788427298293,1,38.73,gabriel.bernard71@example.org,magasin
1764681180,9791000000439,1,32.66,jules.moreau19@example.org,STORE
1765620720,9780534359454,1,30.12,chloe.roux58@example.org,boutique
1782542520,9782221129289,1,33.39,camille.martin82@example.org,Magasin
1764349140,9780671255961,1,25.96,emma.fournier47@example.org,online
1778692620,9781984801494,1,32.9,zoe.morel12@example.org,site
1752324120,9791000000619,1,31.26,hugo.david1@example.org,boutique
1760705040,9780380976003,1,17.06,theo.moreau26@example.org,Magasin
1762786860,9798352831533,1,19.71,ines.michel5@example.org,web
